seller_id,item_id,item_name,category,market_price,expected_units_sold,expected_revenue
S100,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S108,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S110,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S115,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S116,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S123,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S125,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S131,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S136,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S145,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S117,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S119,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S142,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S148,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S149,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S104,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S109,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S118,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S130,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S132,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S150,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S101,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S120,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S122,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S139,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S144,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S103,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S105,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S112,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S114,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S121,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S124,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S126,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S127,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S137,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S146,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S102,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S106,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S111,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
S113,i110450,Nike Air Zoom Pegasus,Footwear,140825.51,3000.0,4.2247653E8
