seller_id,item_id,item_name,category,market_price,expected_units_sold,expected_revenue
S100,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S108,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S110,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S115,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S116,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S123,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S125,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S131,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S136,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S145,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S117,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S119,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S142,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S148,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S149,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S104,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S109,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S118,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S130,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S132,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S134,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S150,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S101,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S120,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S122,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S139,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S144,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S103,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S105,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S112,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S114,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S121,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S126,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S127,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S137,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S146,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S102,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S106,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S111,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S113,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
S128,i1007054,Reebok Nano X4,Footwear,64445.46,3000.0,1.9333638E8
